Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
9624,9600,20.13,1,0.21,SubClassOf(<http://purl.obolibrary.org/obo/TTO_1009359> <http://purl.obolibrary.org/obo/TTO_105145>),0,ore_ont_7493.owl,77279,9602,1,9584
9119,9220,54.95,1,0.60,SubClassOf(<http://doe-generated-ontology.com/OntoPneumo#Serum> <http://doe-generated-ontology.com/OntoPneumo#ObjetAbstrait>),0,ore_ont_12009.owl,2333,9182,7,9207
10917,11635,360.45,1,3.20,SubClassOf(<http://purl.obolibrary.org/obo/FB_FBgn0086610> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002162> <http://purl.obolibrary.org/obo/NCBITaxon_7227>)),0,ore_ont_14216.owl,165547,11257,1,11220
9231,9412,105.08,1,1.12,SubClassOf(<http://purl.obolibrary.org/obo/MPATH_503> <http://purl.obolibrary.org/obo/MPATH_515>),0,ore_ont_14901.owl,1780,9352,2,9414
10445,10861,227.12,1,2.14,SubClassOf(<http://purl.obolibrary.org/obo/VTO_0024699> <http://purl.obolibrary.org/obo/VTO_0024698>),0,ore_ont_15696.owl,213790,10600,1,10495
9157,9147,54.50,1,0.59,SubClassOf(<http://purl.obolibrary.org/obo/UO_0000138> <http://purl.obolibrary.org/obo/UO_0000127>),0,ore_ont_4767.owl,687,9183,2,9246
7186,7173,16.09,1,0.22,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC32> <http://www.absoluteiri.edu/RELAPPROXC23>),0,ore_ont_8937.owl,161,7188,1,7205
9081,9197,114.50,1,1.25,SubClassOf(<http://purl.obolibrary.org/obo/APO_0000252> <http://purl.obolibrary.org/obo/APO_0000001>),0,ore_ont_15576.owl,535,9196,2,9310
9546,9620,145.65,1,1.53,SubClassOf(<http://purl.obolibrary.org/obo/MP_0009442> <http://purl.obolibrary.org/obo/MP_0009590>),0,ore_ont_10389.owl,19525,9501,2,9339
9538,11593,1180.44,1,11.54,SubClassOf(<http://purl.obolibrary.org/obo/GO_0015833> <http://purl.obolibrary.org/obo/GO_0051234>),0,ore_ont_14280.owl,19225,10230,2,9559
28337,28410,287.25,1,1.02,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000040423> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0000956>)),0,ore_ont_3836.owl,1928386,28209,1,27880
