Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
10761,10178,332.91,1,3.21,SubClassOf(<http://doe-generated-ontology.com/OntoPneumo#Cholecystectomie> <http://doe-generated-ontology.com/OntoPneumo#Changement>),0,ore_ont_12009.owl,2333,10376,6,10191
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/FB_FBgn0044810> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005576>))),0,ore_ont_14216.owl,165547,6002,1,6002
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/MPATH_337> <http://purl.obolibrary.org/obo/MPATH_496>),0,ore_ont_14901.owl,1780,6002,1,6002
17160,18926,897.57,1,5.00,SubClassOf(<http://purl.obolibrary.org/obo/VTO_0000123> <http://purl.obolibrary.org/obo/VTO_0000105>),0,ore_ont_15696.owl,213790,17950,2,17764
10839,10840,109.41,1,1.00,SubClassOf(<http://purl.obolibrary.org/obo/UO_0000145> <http://purl.obolibrary.org/obo/UO_0000127>),0,ore_ont_4767.owl,687,10902,2,11029
6008,6007,1.53,1,0.03,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC34> <http://www.absoluteiri.edu/RELAPPROXC37>),0,ore_ont_8937.owl,161,6008,1,6010
10698,10772,37.29,1,0.35,SubClassOf(<http://purl.obolibrary.org/obo/APO_0000263> <http://purl.obolibrary.org/obo/APO_0000253>),0,ore_ont_15576.owl,535,10732,3,10727
11447,11704,167.65,1,1.46,SubClassOf(<http://purl.obolibrary.org/obo/MP_0000791> <http://purl.obolibrary.org/obo/MP_0000783>),0,ore_ont_10389.owl,19525,11513,4,11389
11438,11599,96.29,2,0.84,SubClassOf(<http://purl.obolibrary.org/obo/FBbt_00000515> <http://purl.obolibrary.org/obo/FBbt_00000478>),0,ore_ont_14280.owl,19225,11488,2,11427
12004,12005,0.58,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSMUSG00000028641> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/EMAPA_18720>)),0,ore_ont_3836.owl,1928386,12004,1,12004
6003,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_46714> <http://purl.obolibrary.org/obo/CHEBI_46662>),0,ore_ont_15929.owl,160026,6002,1,6002
6035,6042,5.13,1,0.08,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC654> <http://www.absoluteiri.edu/RELAPPROXC552>),0,ore_ont_1481.owl,2272,6040,1,6045
8003,8002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSG00000205659> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_00022060> <http://purl.obolibrary.org/obo/UBERON_0000998>)),0,ore_ont_10445.owl,459568,8002,1,8002
13656,13712,213.16,1,1.54,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_10328> <http://purl.obolibrary.org/obo/CHEBI_51958>),0,ore_ont_15388.owl,74843,13806,4,14050
6002,6002,1.15,1,0.02,SubClassOf(<http://purl.obolibrary.org/obo/FMA_16754> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/c3ebb8aa-1b81-451f-bfb9-1ecc4c156660_e.obo.PREVIOUS#branch_of> <http://purl.obolibrary.org/obo/FMA_16718>)),0,ore_ont_7716.owl,42908,6002,1,6004
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/TGMA_0000039> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/OBO_REL_part_of> <http://purl.obolibrary.org/obo/TGMA_0000003>)),0,ore_ont_2440.owl,4599,6002,1,6002
6002,6004,1.00,1,0.02,SubClassOf(<http://purl.obolibrary.org/obo/FB_FBgn0029859> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0005575>))),0,ore_ont_4557.owl,146260,6003,1,6003
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB#_B3H5K1> <http://purl.obolibrary.org/obo/PR_000000001>),0,ore_ont_4235.owl,48845,6002,1,6002
11613,11544,118.58,1,1.03,SubClassOf(<http://purl.obolibrary.org/obo/GO_0003309> <http://purl.obolibrary.org/obo/GO_0048869>),0,ore_ont_457.owl,1525,11513,2,11382
11794,11584,122.71,1,1.05,SubClassOf(<http://purl.obolibrary.org/obo/AAO_0010692> <http://purl.obolibrary.org/obo/AAO_0010001>),0,ore_ont_9598.owl,4284,11652,3,11579
6003,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/MGI_MGI%3A1920328> <http://purl.obolibrary.org/obo/PANTHER_PTHR11851>),0,ore_ont_9513.owl,44839,6002,1,6002
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSDARG00000003383> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_00022060> <http://purl.obolibrary.org/obo/UBERON_0000955>)),0,ore_ont_8557.owl,102336,6002,1,6002
11926,11919,119.27,1,1.01,SubClassOf(<http://purl.obolibrary.org/obo/VT_0010384> <http://purl.obolibrary.org/obo/VT_0003574>),0,ore_ont_6198.owl,15081,11853,2,11716
6002,6002,0.00,1,0.00,SubClassOf(<http://www.xspan.org/obo.owl#EMAPA.16618> <http://www.xspan.org/obo.owl#XUO.0000004>),0,ore_ont_1555.owl,14372,6002,1,6002
6003,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/UniProtKB_P62743> <http://purl.obolibrary.org/obo/PR_000004103>),0,ore_ont_9590.owl,35517,6002,1,6002
14024,14552,264.01,1,1.85,SubClassOf(<http://purl.obolibrary.org/obo/GO_0061571> <http://purl.obolibrary.org/obo/GO_0046939>),0,ore_ont_10175.owl,128846,14287,2,14285
12044,11823,117.17,1,0.98,SubClassOf(<http://sweet.jpl.nasa.gov/2.1/phenMixing.owl#Bioturbation> <http://sweet.jpl.nasa.gov/2.1/phenMixing.owl#Mix>),0,ore_ont_13621.owl,11677,11956,2,12001
8003,8010,3.51,1,0.04,SubClassOf(<http://purl.obolibrary.org/obo/MIM_608192> <http://purl.obolibrary.org/obo/NCBIGene_57147>),0,ore_ont_12387.owl,433558,8006,1,8007
6023,6024,2.08,1,0.03,SubClassOf(<http://purl.org/obo/owl/GO#GO_0002310> <http://purl.org/obo/owl/GO#GO_0046633>),0,ore_ont_9857.owl,2271,6024,1,6027
12464,12586,115.07,1,0.91,SubClassOf(<http://purl.obolibrary.org/obo/MP_0010392> <http://purl.obolibrary.org/obo/MP_0010559>),0,ore_ont_4732.owl,23649,12581,3,12694
12835,12314,276.68,3,2.21,SubClassOf(<http://www.cidoc-crm.org/cidoc-crm/E84_Information_Carrier> <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>),5,ore_ont_2228.owl,700,12520,7,12413
12104,12615,316.83,1,2.59,SubClassOf(<http://purl.obolibrary.org/obo/RS_0001286> <http://purl.obolibrary.org/obo/RS_0002644>),0,ore_ont_11619.owl,8720,12251,2,12035
12383,12343,78.23,1,0.64,SubClassOf(<http://lod.taxonconcept.org/ontology/phylo.owl#Sarcophagidae> <http://lod.taxonconcept.org/ontology/phylo.owl#Eumetazoa>),0,ore_ont_13887.owl,1254,12319,20,12232
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSCING00000016458> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-7719_scaffold_1063>)),0,ore_ont_12802.owl,30754,6002,1,6002
6002,6002,0.58,1,0.01,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC83> owl:Thing),0,ore_ont_2036.owl,203,6002,0,6003
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSGALG00000015575> <http://purl.obolibrary.org/obo/SO_0001217>),0,ore_ont_964.owl,35876,6002,1,6002
12261,12456,102.63,1,0.83,SubClassOf(<http://purl.obolibrary.org/obo/MP_0000300> <http://purl.obolibrary.org/obo/MP_0000297>),0,ore_ont_11452.owl,21702,12377,2,12414
112137,10065,58877.10,1,133.35,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00720002> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/57dc1631-dc30-4405-8c59-c6af4b1e4221_gaz.obo#located_in> <http://purl.obolibrary.org/obo/GAZ_00024000>)),0,ore_ont_11395.owl,1169399,44151,1,10253
6002,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/NCBI_Gene_189> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> <http://purl.obolibrary.org/obo/HP_0000965>)),0,ore_ont_16559.owl,45314,6001,1,6001
6027,6016,5.57,1,0.09,SubClassOf(<http://purl.obolibrary.org/obo/GO_0060379> <http://purl.obolibrary.org/obo/GO_0045445>),0,ore_ont_11009.owl,1524,6021,1,6020
26156,23765,3008.87,1,11.33,SubClassOf(<http://purl.obolibrary.org/obo/SO_0001586> <http://purl.obolibrary.org/obo/SO_0001583>),0,ore_ont_1579.owl,282524,26554,2,29743
6002,6002,0.58,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_FBgn0033225> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0004835>)),0,ore_ont_14607.owl,276566,6002,1,6003
14507,14509,269.62,1,1.88,SubClassOf(<http://purl.obolibrary.org/obo/sep_00018> <http://purl.obolibrary.org/obo/sep_00005>),0,ore_ont_6735.owl,427,14352,2,14041
14616,14645,83.54,1,0.57,SubClassOf(<http://purl.obolibrary.org/obo/FYPO_0002100> <http://www.absoluteiri.edu/RELAPPROXC6190>),0,ore_ont_935.owl,28658,14678,2,14773
6002,6002,0.00,1,0.00,SubClassOf(<http://www.lexinfo.net/lmf#SenseAxisRelation> <http://www.lexinfo.net/lmf#LMFClass>),0,ore_ont_9509.owl,174,6002,1,6002
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/WB_WBGene00044528> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002217> <http://purl.obolibrary.org/obo/GO_0006811>))),0,ore_ont_2253.owl,172388,6002,1,6002
15359,15223,82.86,2,0.54,SubClassOf(<http://purl.org/obo/owl/IEV#IEV_0001640> <http://purl.org/obo/owl/IEV#IEV_0001589>),2,ore_ont_8641.owl,11046,15318,4,15373
14509,14760,210.40,1,1.43,SubClassOf(<http://purl.obolibrary.org/obo/PO_0006439> <http://purl.obolibrary.org/obo/PO_0006004>),0,ore_ont_5485.owl,3706,14732,2,14927
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSMUSG00000069713> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/CHROMOSOME-10090_10>)),0,ore_ont_7256.owl,75518,6002,1,6002
6002,6002,0.00,1,0.00,SubClassOf(<http://www.absoluteiri.edu/RELAPPROXC196> owl:Thing),0,ore_ont_10536.owl,307,6002,0,6002
14706,14775,179.16,1,1.22,SubClassOf(<http://purl.obolibrary.org/obo/PRIDE_0000323> <http://purl.obolibrary.org/obo/PRIDE_0000307>),0,ore_ont_10056.owl,898,14639,3,14436
